id;1 wspol.;2 wspol.;3 wspol.;4 wspol.;l. obliczen;typ punktu;CId;
0;0.803773;0.551609;0.220644;0.0315205;298;1;0;
1;0.828133;0.50702;0.236609;0.0338013;298;1;1;
2;0.805333;0.548312;0.222752;0.0342695;298;1;0;
3;0.80003;0.539151;0.260879;0.0347839;298;1;2;
4;0.790965;0.569495;0.22147;0.0316386;298;0;3;
5;0.784175;0.566349;0.24687;0.058087;298;1;3;
6;0.780109;0.576603;0.237425;0.0508767;298;1;3;
7;0.802185;0.545486;0.240655;0.0320874;298;1;0;
8;0.806424;0.531507;0.256589;0.0366556;298;1;2;
9;0.818031;0.51753;0.250418;0.0166945;298;1;1;
10;0.803735;0.550707;0.22326;0.029768;298;1;0;
11;0.786991;0.557452;0.26233;0.0327913;298;1;2;
12;0.823072;0.51442;0.240063;0.0171473;298;1;1;
13;0.802513;0.559893;0.205294;0.0186631;298;-1;-1;
14;0.811209;0.559454;0.167836;0.0279727;298;-1;-1;
15;0.773811;0.597328;0.203635;0.0543025;298;1;4;
16;0.794289;0.573653;0.191218;0.0588363;298;1;4;
17;0.803274;0.551267;0.220507;0.0472514;298;0;4;
18;0.806828;0.537885;0.240633;0.0424646;298;1;2;
19;0.779649;0.580915;0.229308;0.0458617;298;1;3;
20;0.817338;0.51462;0.25731;0.0302718;298;1;1;
21;0.785919;0.570176;0.231153;0.0616407;298;1;3;
22;0.775771;0.607125;0.168646;0.0337292;298;0;4;
23;0.805978;0.521515;0.268659;0.0790174;298;-1;-1;
24;0.776114;0.549747;0.307212;0.0323381;298;-1;-1;
25;0.826475;0.495885;0.264472;0.033059;298;-1;-1;
26;0.797782;0.542492;0.25529;0.0638226;298;-1;-1;
27;0.80642;0.542782;0.232621;0.0310161;298;1;0;
28;0.816094;0.5336;0.219718;0.0313882;298;1;5;
29;0.795241;0.54144;0.27072;0.03384;298;1;2;
30;0.808466;0.522134;0.269489;0.0336861;298;0;2;
31;0.82225;0.517713;0.228403;0.0609074;298;0;1;
32;0.765783;0.603791;0.220899;0.0147266;298;0;4;
33;0.778674;0.594624;0.198208;0.0283154;298;1;4;
34;0.818031;0.51753;0.250418;0.0166945;298;1;1;
35;0.825123;0.528079;0.19803;0.0330049;298;-1;-1;
36;0.826998;0.526271;0.195472;0.0300726;298;-1;-1;
37;0.818031;0.51753;0.250418;0.0166945;298;1;1;
38;0.802124;0.546903;0.236991;0.0364602;298;1;0;
39;0.807796;0.53853;0.237587;0.0316783;298;1;0;
40;0.800333;0.560233;0.208087;0.04802;298;0;4;
41;0.860939;0.440035;0.248716;0.0573959;298;-1;-1;
42;0.78609;0.571702;0.232254;0.0357314;298;1;3;
43;0.788895;0.552226;0.252446;0.0946674;298;-1;-1;
44;0.766939;0.571445;0.285722;0.0601521;298;-1;-1;
45;0.822106;0.513816;0.239781;0.0513816;298;1;1;
46;0.777291;0.579158;0.243856;0.030482;298;0;3;
47;0.795948;0.553703;0.242245;0.0346064;298;0;0;
48;0.79837;0.557353;0.225954;0.0301272;298;1;0;
49;0.812284;0.536107;0.227439;0.0324913;298;1;5;
50;0.767011;0.350634;0.514993;0.153402;298;1;6;
51;0.745498;0.372749;0.524178;0.174726;298;1;7;
52;0.755193;0.33929;0.536296;0.164172;298;1;7;
53;0.753849;0.315246;0.548254;0.178183;298;1;7;
54;0.758175;0.326599;0.536555;0.174964;298;1;7;
55;0.72233;0.354829;0.57026;0.164742;298;1;7;
56;0.726348;0.380468;0.541879;0.184469;298;1;8;
57;0.759165;0.371836;0.511275;0.154932;298;-1;-1;
58;0.763019;0.335266;0.531801;0.150292;298;1;7;
59;0.724602;0.376236;0.543452;0.195085;298;1;8;
60;0.769231;0.307692;0.538462;0.153846;298;1;7;
61;0.739235;0.375882;0.526235;0.187941;298;0;7;
62;0.788928;0.289273;0.525952;0.131488;298;-1;-1;
63;0.730814;0.347436;0.563086;0.167728;298;1;7;
64;0.759117;0.393114;0.488004;0.176224;298;-1;-1;
65;0.769454;0.356016;0.505313;0.160782;298;1;6;
66;0.706319;0.378385;0.567578;0.189193;298;0;9;
67;0.756765;0.352287;0.534955;0.130477;298;-1;-1;
68;0.764442;0.271254;0.554837;0.184946;298;0;7;
69;0.761852;0.340112;0.530575;0.149649;298;1;7;
70;0.69858;0.378891;0.568336;0.213126;298;1;9;
71;0.770119;0.353497;0.504996;0.164124;298;1;6;
72;0.741433;0.294219;0.57667;0.176532;298;-1;-1;
73;0.736599;0.338111;0.567543;0.144905;298;0;7;
74;0.767417;0.347736;0.515608;0.155882;298;1;6;
75;0.767857;0.349026;0.511905;0.162879;298;1;6;
76;0.764673;0.314865;0.539769;0.157433;298;1;7;
77;0.740886;0.33174;0.5529;0.187986;298;0;7;
78;0.733509;0.35453;0.550132;0.183377;298;1;7;
79;0.786675;0.358834;0.483046;0.138013;298;-1;-1;
80;0.765219;0.333914;0.528696;0.153044;298;1;7;
81;0.772429;0.33706;0.519634;0.140442;298;-1;-1;
82;0.76435;0.355818;0.513959;0.158141;298;1;6;
83;0.707795;0.318508;0.601626;0.188745;298;1;10;
84;0.693334;0.385186;0.577778;0.192593;298;0;9;
85;0.715249;0.405308;0.536437;0.190733;298;-1;-1;
86;0.754573;0.349131;0.529328;0.168934;298;1;7;
87;0.7753;0.283046;0.54148;0.159983;298;1;7;
88;0.729924;0.391031;0.534409;0.169447;298;1;8;
89;0.747142;0.33961;0.543376;0.176597;298;1;7;
90;0.723371;0.341957;0.578697;0.157826;298;1;7;
91;0.732604;0.360297;0.552455;0.168139;298;1;7;
92;0.76263;0.341869;0.525952;0.157786;298;1;7;
93;0.769869;0.35414;0.508113;0.153974;298;1;6;
94;0.735443;0.354589;0.551582;0.170728;298;1;7;
95;0.732396;0.385472;0.53966;0.154189;298;0;7;
96;0.73446;0.373673;0.541181;0.167509;298;1;7;
97;0.757281;0.354212;0.525211;0.158785;298;0;7;
98;0.782581;0.383618;0.460341;0.168792;298;-1;-1;
99;0.743148;0.365055;0.534545;0.16949;298;1;7;
100;0.653877;0.342507;0.62274;0.259475;298;-1;-1;
101;0.690525;0.321451;0.607186;0.226207;298;1;11;
102;0.714914;0.302076;0.594084;0.211453;298;1;12;
103;0.692768;0.318893;0.615794;0.197934;298;0;10;
104;0.68619;0.316703;0.612293;0.232249;298;1;11;
105;0.709537;0.28008;0.616177;0.196056;298;1;13;
106;0.670541;0.342113;0.615803;0.232637;298;-1;-1;
107;0.713666;0.283511;0.615903;0.175972;298;1;13;
108;0.714141;0.266471;0.618212;0.191859;298;1;13;
109;0.691988;0.345994;0.586268;0.240274;298;1;12;
110;0.715626;0.352308;0.561492;0.220193;298;0;9;
111;0.715765;0.301964;0.592743;0.212493;298;1;12;
112;0.717181;0.316404;0.580073;0.221483;298;1;12;
113;0.692552;0.303751;0.607502;0.243001;298;-1;-1;
114;0.677679;0.327155;0.59589;0.280419;298;-1;-1;
115;0.695899;0.347949;0.576291;0.250089;298;0;12;
116;0.706105;0.325894;0.597473;0.195537;298;1;10;
117;0.692991;0.341996;0.602992;0.197997;298;1;10;
118;0.706006;0.238392;0.632655;0.210885;298;-1;-1;
119;0.727126;0.266613;0.605938;0.181781;298;1;13;
120;0.705589;0.32723;0.582878;0.235196;298;1;12;
121;0.683079;0.34154;0.597694;0.243957;298;1;12;
122;0.714865;0.259951;0.622026;0.185679;298;1;13;
123;0.731225;0.313382;0.56873;0.208921;298;0;12;
124;0.695956;0.342784;0.592082;0.218135;298;0;10;
125;0.715295;0.317909;0.596079;0.178824;298;1;10;
126;0.727852;0.328707;0.563498;0.211312;298;1;12;
127;0.711712;0.350022;0.571703;0.210013;298;0;9;
128;0.69594;0.304474;0.608948;0.228355;298;-1;-1;
129;0.730899;0.304541;0.588779;0.162422;298;0;10;
130;0.727662;0.275331;0.599829;0.186832;298;0;13;
131;0.71579;0.344304;0.57988;0.181213;298;-1;-1;
132;0.694177;0.303703;0.607405;0.238624;298;-1;-1;
133;0.72366;0.321627;0.58582;0.1723;298;1;10;
134;0.693854;0.295741;0.636981;0.159245;298;-1;-1;
135;0.731544;0.285017;0.579535;0.218513;298;0;12;
136;0.670175;0.361682;0.595711;0.255305;298;-1;-1;
137;0.698048;0.338117;0.599885;0.196326;298;1;10;
138;0.710669;0.355335;0.568535;0.213201;298;1;9;
139;0.724153;0.325344;0.566728;0.220394;298;1;12;
140;0.69997;0.323867;0.58505;0.250736;298;1;12;
141;0.733379;0.329489;0.542063;0.24446;298;-1;-1;
142;0.690525;0.321451;0.607186;0.226207;298;1;11;
143;0.691935;0.325616;0.600355;0.234037;298;1;11;
144;0.689149;0.339431;0.586291;0.257145;298;1;12;
145;0.721557;0.323085;0.560015;0.247699;298;-1;-1;
146;0.729654;0.289545;0.57909;0.220054;298;1;12;
147;0.716539;0.33071;0.573231;0.220474;298;1;12;
148;0.674671;0.369981;0.587616;0.250281;298;-1;-1;
149;0.690259;0.350979;0.596665;0.210588;298;1;10;
