id;1 wspol.;2 wspol.;3 wspol.;4 wspol.;5 wspol.;6 wspol.;7 wspol.;8 wspol.;9 wspol.;l. obliczen;typ punktu;CId;
0;0.0206246;0.184956;0.0608836;0.0149158;0.973323;0.000813589;0.118648;0;0;426;-1;-1;
1;0.0203505;0.186259;0.0482744;0.018237;0.975277;0.00643659;0.104997;0;0;426;1;0;
2;0.0202815;0.180987;0.0474874;0.0206002;0.976368;0.00521693;0.104071;0;0;426;0;0;
3;0.0204045;0.177605;0.049611;0.0173437;0.97622;0.00766348;0.110515;0;0;426;1;1;
4;0.0202789;0.177341;0.048378;0.0165715;0.976647;0.00735024;0.107848;0;0;426;1;1;
5;0.0203091;0.171346;0.0483627;0.0217029;0.97757;0.008574;0.108113;0;0.00348319;426;1;0;
6;0.0202727;0.177686;0.0480955;0.0152302;0.976472;0.00774872;0.10915;0;0;426;1;1;
7;0.0202401;0.175385;0.0481475;0.0140041;0.976822;0.00760224;0.109899;0;0;426;0;1;
8;0.0205241;0.18968;0.0483658;0.0185087;0.9738;0.0075656;0.112133;0;0;426;-1;-1;
9;0.0203071;0.17396;0.0481735;0.0181989;0.976718;0.00762747;0.112405;0;0.00147197;426;1;1;
10;0.0202497;0.169937;0.0462251;0.0208414;0.977941;0.0089511;0.108081;0;0.00320636;426;1;0;
11;0.020307;0.171273;0.0489734;0.0169935;0.976925;0.00802842;0.114539;0;0;426;1;1;
12;0.0202259;0.171852;0.045765;0.0186796;0.977744;0.00920638;0.107408;0;0.00320222;426;0;0;
13;0.0202561;0.171662;0.0475207;0.0169526;0.977244;0.00720819;0.111861;0;0.00226925;426;1;1;
14;0.0202442;0.168209;0.0478883;0.0174745;0.977641;0.00773682;0.113384;0;0;426;0;3;
15;0.0202523;0.170948;0.0472409;0.0164142;0.977379;0.00774003;0.111964;0;0;426;1;1;
16;0.0202847;0.169458;0.0490467;0.0155025;0.977058;0.00815217;0.116269;0;0;426;0;1;
17;0.020711;0.195412;0.0523912;0.0121112;0.971074;0.00204122;0.124514;0;0;426;0;4;
18;0.0205002;0.187578;0.0503358;0.0159239;0.973249;0.000809691;0.119969;0;0;426;1;2;
19;0.0203705;0.174794;0.0475247;0.0226884;0.976405;0.00724953;0.113308;0;0.000939755;426;-1;-1;
20;0.0203752;0.172132;0.0476651;0.0200059;0.9768;0.00725047;0.114396;0;0.00255109;426;-1;-1;
21;0.0204865;0.199114;0.0505535;0.00390947;0.970898;0.000404428;0.121329;0;0;426;-1;-1;
22;0.0203589;0.171473;0.0485706;0.0173083;0.976645;0.0079162;0.11673;0;0;426;1;1;
23;0.0203021;0.171379;0.0477613;0.018061;0.9769;0.00829469;0.114922;0;0;426;1;1;
24;0.0203229;0.179225;0.0468825;0.0154042;0.975825;0.00669749;0.11292;0;0;426;1;1;
25;0.020304;0.173655;0.0473604;0.0161882;0.976641;0.00869612;0.11412;0;0;426;1;1;
26;0.0203958;0.177497;0.0467593;0.0189456;0.976033;0.00792758;0.11327;0;0;426;1;1;
27;0.0202963;0.172167;0.0465532;0.0177919;0.977082;0.00749132;0.112771;0;0;426;1;1;
28;0.0202833;0.16786;0.0470436;0.0191114;0.977624;0.00761785;0.114134;0;0;426;0;3;
29;0.0203408;0.175287;0.0467699;0.0171534;0.976406;0.00804068;0.113776;0;0;426;1;1;
30;0.020293;0.169144;0.0476011;0.0173824;0.977159;0.00815636;0.116195;0;0.00187195;426;1;1;
31;0.0202372;0.171236;0.0466765;0.0152032;0.977139;0.00746824;0.114024;0;0;426;1;1;
32;0.0203192;0.172032;0.0465893;0.0164669;0.976904;0.00816652;0.114599;0.0012049;0.0029453;426;1;1;
33;0.0202179;0.167469;0.0462305;0.0183856;0.977768;0.00799374;0.113911;0;0.000799374;426;1;3;
34;0.020326;0.169938;0.0474058;0.0179446;0.976909;0.00763314;0.117175;0;0;426;1;1;
35;0.0203319;0.178278;0.0462799;0.0162315;0.975769;0.00751211;0.114962;0;0;426;1;1;
36;0.0205895;0.188263;0.047845;0.017891;0.9733;0.00691245;0.119003;0.00149092;0;426;0;2;
37;0.0203257;0.170589;0.0465973;0.0180766;0.976937;0.00856962;0.116226;0;0;426;1;1;
38;0.0205965;0.19228;0.0516897;0.00635973;0.971144;0.00148845;0.129495;0;0;426;1;4;
39;0.0205965;0.19228;0.0516897;0.00635973;0.971144;0.00148845;0.129495;0;0;426;1;4;
40;0.0203022;0.171065;0.0468121;0.0149799;0.976769;0.00855993;0.117298;0;0;426;0;1;
41;0.0202606;0.16969;0.04566;0.0160211;0.977285;0.00787702;0.115352;0;0;426;1;1;
42;0.0203584;0.177188;0.0454707;0.0178395;0.975944;0.00791378;0.115219;0;0;426;1;1;
43;0.020617;0.185974;0.0520132;0.00975247;0.971997;0.00230267;0.131929;0;0;426;1;4;
44;0.020326;0.170471;0.045932;0.0159356;0.976891;0.00830257;0.117307;0;0.00401737;426;0;1;
45;0.020564;0.182626;0.0471117;0.0182761;0.974049;0.00744582;0.121841;0;0;426;1;1;
46;0.0203754;0.176963;0.0452133;0.0158314;0.975642;0.00764736;0.118467;0;0.00214663;426;0;1;
47;0.0207161;0.189836;0.0502069;0.0096343;0.971165;0.000271389;0.133252;0;0.00135694;426;1;4;
48;0.0205732;0.178536;0.0509523;0.010677;0.972959;0.00175698;0.135422;0;0;426;1;4;
49;0.0205292;0.183535;0.0452756;0.0166236;0.974168;0.0079739;0.120419;0;0;426;1;1;
50;0.0206253;0.18578;0.0503718;0.00690581;0.971552;0.00121867;0.13622;0;0.00216653;426;1;4;
51;0.0204687;0.177841;0.0448644;0.0172452;0.974891;0.00808367;0.123141;0;0.00148201;426;1;1;
52;0.0203228;0.17979;0.0384212;0.0159308;0.975123;0.00736296;0.120886;0;0;426;-1;-1;
53;0.0203367;0.175994;0.0380383;0.017144;0.975735;0.00736657;0.121481;0;0;426;0;5;
54;0.0202929;0.176619;0.0375701;0.0172475;0.975752;0.00681877;0.120599;0;0.00120331;426;0;5;
55;0.0201368;0.165188;0.0359565;0.0171158;0.977858;0.00743013;0.120209;0;0.00318434;426;1;5;
56;0.020242;0.173888;0.0464503;0.0149926;0.976929;0.00829948;0.111775;0;0.00414974;426;-1;-1;
57;0.0203341;0.17237;0.0466083;0.0172772;0.977032;0.00803591;0.112904;0;0;426;1;1;
58;0.020294;0.180267;0.0500148;0.0156463;0.97609;0.00789003;0.107385;0;0;426;1;1;
59;0.0203454;0.179517;0.0490689;0.0159541;0.975881;0.00764188;0.110874;0;0.00147475;426;1;1;
60;0.0203813;0.182473;0.0485701;0.0148931;0.974623;0.0018784;0.117534;0;0;426;1;2;
61;0.0206299;0.187462;0.0485963;0.0179182;0.973555;0.00162893;0.11769;0.00936632;0;426;-1;-1;
62;0.0206215;0.18308;0.0523086;0.0119253;0.972858;0.00311683;0.129281;0;0.00149066;426;0;4;
63;0.0207098;0.192777;0.0518334;0.0106116;0.970685;0;0.131828;0;0;426;1;4;
64;0.0205626;0.182151;0.0505375;0.0121614;0.97305;0.00243229;0.129857;0;0.00094589;426;1;4;
65;0.0205643;0.185093;0.048538;0.0151428;0.972923;0.00121683;0.127091;0;0;426;0;2;
66;0.0205171;0.175974;0.0492188;0.0117316;0.973857;0.00256207;0.132823;0;0.00229238;426;0;4;
67;0.0204902;0.175743;0.0491542;0.0117162;0.973927;0.00255871;0.132649;0;0.00228937;426;0;4;
68;0.020521;0.176951;0.048284;0.0121384;0.973772;0.00310205;0.132444;0;0.00215794;426;1;4;
69;0.0205755;0.179816;0.0483653;0.0110781;0.972574;0.00162118;0.137395;0;0.000405296;426;1;4;
70;0.0205146;0.201121;0.0496712;0.0235498;0.972717;0.0021655;0.0996131;0;0.00162413;426;0;6;
71;0.0205636;0.184716;0.0524084;0.0171986;0.974499;0.0073128;0.112671;0;0.00433351;426;-1;-1;
72;0.0202679;0.175013;0.0479982;0.0203224;0.977345;0.00895788;0.104687;0;0;426;0;0;
73;0.0203205;0.178773;0.0478425;0.02104;0.976549;0.00817477;0.105736;0;0;426;1;0;
74;0.0202672;0.174067;0.0475943;0.0205886;0.977422;0.00962582;0.105617;0;0;426;1;0;
75;0.020262;0.174029;0.0478514;0.0201831;0.977344;0.00922275;0.106396;0;0;426;1;0;
76;0.0204412;0.181166;0.0486615;0.0207586;0.97579;0.00889655;0.108241;0;0;426;1;0;
77;0.0203426;0.174411;0.0480301;0.020661;0.977103;0.0081839;0.107866;0;0;426;1;0;
78;0.0202879;0.186268;0.0471023;0.0167267;0.975232;0.0049511;0.106248;0;0.00187339;426;0;0;
79;0.0203385;0.172003;0.0472272;0.0254919;0.977548;0.00925759;0.106932;0;0;426;-1;-1;
80;0.0203888;0.172964;0.0473432;0.0285135;0.97726;0.00928034;0.107195;0;0;426;-1;-1;
81;0.0202434;0.176937;0.0460705;0.0190959;0.977094;0.00814579;0.104961;0;0;426;1;0;
82;0.0203306;0.179783;0.0475935;0.0167583;0.976137;0.00911651;0.108594;0;0;426;0;1;
83;0.0203235;0.175491;0.047191;0.0207801;0.976934;0.00911644;0.107923;0;0.00120659;426;1;0;
84;0.0204253;0.192235;0.0416846;0.0280596;0.97507;0.0148392;0.0955104;0;0;426;1;6;
85;0.0203498;0.179307;0.0480477;0.0199975;0.975986;0.00603952;0.110188;0;0;426;0;0;
86;0.0202144;0.176578;0.0465452;0.019605;0.976916;0.00506796;0.107094;0;0;426;1;0;
87;0.0203736;0.18003;0.0468885;0.0204213;0.976059;0.00900151;0.108556;0;0.00134351;426;1;0;
88;0.020324;0.174395;0.0469165;0.019839;0.97707;0.00804283;0.108846;0;0;426;1;0;
89;0.020257;0.167651;0.046488;0.0249806;0.978251;0.00841592;0.107938;0;0.00120227;426;-1;-1;
90;0.0204932;0.174509;0.0504768;0.0149811;0.975524;0.00863773;0.120928;0;0.00296922;426;-1;-1;
91;0.020279;0.172553;0.0460142;0.0193955;0.977266;0.00588553;0.110621;0;0;426;-1;-1;
92;0.0202099;0.174918;0.0454626;0.0210648;0.976712;0.000933249;0.111857;0;0.0025331;426;-1;-1;
93;0.020253;0.176892;0.0446237;0.0196398;0.976644;0.00521055;0.109822;0;0;426;0;0;
94;0.0202344;0.169611;0.0444377;0.0198835;0.977897;0.00894092;0.10996;0;0;426;0;0;
95;0.0204948;0.180305;0.0462908;0.0192991;0.975211;0.00688289;0.116064;0;0;426;0;1;
96;0.0204688;0.175515;0.0487991;0.0142892;0.975174;0.00862747;0.123076;0;0.00202206;426;0;1;
97;0.0201835;0.162273;0.0432285;0.0154293;0.978295;0.00824668;0.11838;0;0.00319226;426;0;5;
98;0.0202572;0.169201;0.0384608;0.0228361;0.97768;0.00974876;0.114047;0;0;426;0;5;
99;0.0203301;0.173557;0.0396395;0.0191502;0.976526;0.00803504;0.117713;0.00187484;0;426;1;5;
100;0.0202275;0.170057;0.0380128;0.0192065;0.977263;0.00760257;0.11724;0.00146716;0.00293432;426;1;5;
101;0.0203475;0.165617;0.0364761;0.0218588;0.97721;0.00938722;0.123777;0;0;426;1;5;
102;0.0200973;0.167058;0.0365357;0.0109872;0.977064;0.00463314;0.124698;0;0.00264751;426;0;5;
103;0.0209414;0.189223;0.0431922;0.0090498;0.967643;0.00109695;0.159606;0;0;426;-1;-1;
104;0.0207748;0.188515;0.0395295;0.0159481;0.969835;0.00109047;0.147077;0;0;426;-1;-1;
105;0.0205142;0.15405;0;0.0252938;0.971255;0.0108979;0.178133;0;0.00457441;426;1;7;
106;0.0212703;0.149049;0;0.0291707;0.969719;0.00805668;0.184748;0.0437561;0.00388943;426;-1;-1;
107;0.0209925;0.168331;0;0.0136855;0.960172;0.00164226;0.221568;0;0.00328451;426;0;7;
108;0.0202959;0.192397;0;0.0133331;0.968916;0.00133331;0.153597;0;0.00106665;426;1;7;
109;0.0198418;0.179313;0;0.00731889;0.973021;0;0.143633;0;0;426;0;7;
110;0.0202133;0.14869;0;0.0101951;0.969329;0;0.194369;0;0;426;1;7;
111;0.0202506;0.146107;0;0.00994375;0.968919;0;0.198345;0;0;426;1;7;
112;0.0204949;0.169564;0;0.00898799;0.966142;0.000804895;0.193175;0;0;426;1;7;
113;0.0204237;0.180985;0.0514988;0.0169422;0.97552;0.00766432;0.110393;0;0.00188246;426;1;1;
114;0.0204563;0.176479;0.0534825;0.0160313;0.975888;0.008083;0.113566;0;0;426;-1;-1;
115;0.0204624;0.18071;0.0524207;0.0179228;0.975376;0.00687264;0.111579;0;0;426;1;1;
116;0.0204804;0.178596;0.0526077;0.0190197;0.97567;0.00741903;0.112095;0;0.00134892;426;1;1;
117;0.0205264;0.185634;0.0497911;0.0244897;0.974986;0.00865932;0.106618;0;0;426;1;0;
118;0.0204138;0.179006;0.0489911;0.0205924;0.976188;0.00874841;0.108077;0;0.00390314;426;0;0;
119;0.020423;0.182613;0.0480774;0.0197966;0.975688;0.00861891;0.107198;0;0;426;1;0;
120;0.0204621;0.178554;0.0506688;0.017788;0.975644;0.00781593;0.113466;0;0;426;1;1;
121;0.0203163;0.173207;0.0474208;0.021701;0.977351;0.00857325;0.107568;0;0.0028131;426;1;0;
122;0.0203361;0.17737;0.0474595;0.0198418;0.97654;0.00750772;0.108594;0;0;426;1;0;
123;0.0204146;0.181395;0.046829;0.0230108;0.975872;0.00834309;0.107518;0;0;426;1;0;
124;0.0204143;0.177076;0.0493666;0.0154271;0.975929;0.00724401;0.114294;0;0;426;1;1;
125;0.0204478;0.174088;0.0492777;0.0210036;0.976264;0.00780903;0.115116;0;0.00161566;426;-1;-1;
126;0.0203562;0.173676;0.0484522;0.0169113;0.976427;0.00751614;0.115426;0;0;426;1;1;
127;0.0205453;0.18616;0.0308015;0.0193185;0.972545;0.00661963;0.133068;0;0.00229661;426;1;7;
128;0.0205142;0.182791;0.0281944;0.0225285;0.973718;0.00714977;0.129101;0.00364234;0.00229332;426;1;7;
129;0.0205669;0.189136;0.0182642;0.0220524;0.970845;0.00527633;0.142867;0;0.00243523;426;1;7;
130;0.0204641;0.184904;0.013582;0.0182887;0.970779;0.00443769;0.149806;0;0;426;1;7;
131;0.020677;0.185616;0;0.0184261;0.965201;0.00257423;0.182093;0;0.00135486;426;1;7;
132;0.0204306;0.180738;0.0535619;0.0158802;0.975553;0.0078055;0.109681;0;0;426;0;1;
133;0.0205955;0.186011;0.0533204;0.020894;0.974285;0.00732647;0.111389;0;0.00203513;426;0;0;
134;0.0203603;0.178777;0.0516348;0.0167645;0.976099;0.00697405;0.108902;0;0;426;1;1;
135;0.0204739;0.177912;0.0526047;0.0175349;0.975615;0.00741861;0.113842;0;0.00377675;426;0;1;
136;0.0202919;0.173771;0.0507947;0.0144364;0.976728;0.00748553;0.112016;0;0.00160404;426;-1;-1;
137;0.0203217;0.172662;0.0484899;0.0210301;0.977299;0.00817095;0.108633;0;0;426;1;0;
138;0.0202229;0.170531;0.0469326;0.020533;0.978118;0.00879986;0.105332;0;0;426;0;0;
139;0.0202737;0.172028;0.0475852;0.0219212;0.977634;0.0086883;0.106799;0;0;426;1;0;
140;0.0204105;0.179361;0.0476321;0.0216632;0.976055;0.00914968;0.109123;0;0;426;1;0;
141;0.0203535;0.176928;0.0486551;0.0143419;0.976185;0.00764006;0.112724;0.00120633;0.00227861;426;0;1;
142;0.020302;0.172015;0.0469861;0.0192763;0.977337;0.00910271;0.11017;0.000803181;0.00334659;426;0;0;
143;0.0203786;0.174625;0.0466114;0.0240445;0.976825;0.00886558;0.109879;0;0;426;-1;-1;
144;0.0202931;0.173815;0.0425504;0.0164582;0.976385;0.00776077;0.117883;0;0.00321135;426;1;5;
145;0.0204282;0.172882;0.0493756;0.0166828;0.976345;0.00834138;0.116779;0;0.00470884;426;-1;-1;
146;0.0203306;0.182852;0.0490285;0.0148693;0.974809;0.00147353;0.115204;0;0;426;1;2;
147;0.0203602;0.179013;0.0474055;0.0179953;0.975909;0.00752042;0.111866;0;0;426;1;1;
148;0.0203605;0.177737;0.0479245;0.0185254;0.975941;0.00751756;0.1133;0;0.00134242;426;0;1;
149;0.0203545;0.163219;0.0472476;0.0181205;0.978375;0.00765089;0.114495;0;0;426;-1;-1;
150;0.0204247;0.176956;0.046461;0.0237019;0.976085;0.00808018;0.112853;0;0.00228938;426;-1;-1;
151;0.020653;0.19441;0.052947;0.0112682;0.970695;0;0.128838;0;0;426;1;4;
152;0.0202627;0.182096;0.048728;0.00867759;0.97456;0.000801008;0.119217;0;0;426;0;2;
153;0.0203529;0.180157;0.0456433;0.0163779;0.975828;0.00792046;0.111692;0;0;426;0;1;
154;0.0203951;0.172901;0.0481326;0.0176128;0.976232;0.00820137;0.11818;0;0;426;0;1;
155;0.020283;0.174413;0.0454757;0.0168528;0.976524;0.00695511;0.114759;0;0;426;1;1;
156;0.0203625;0.180054;0.045517;0.0171864;0.975326;0.00698196;0.116142;0;0;426;1;1;
157;0.0205859;0.189862;0.0508826;0.00784891;0.971505;0.00148859;0.13059;0;0;426;1;4;
158;0.0205278;0.182994;0.0461204;0.0205581;0.974344;0.00784453;0.118885;0;0;426;1;1;
159;0.0205584;0.182837;0.045506;0.0220758;0.974316;0.00771977;0.119318;0;0.00121891;426;0;1;
160;0.0205125;0.180089;0.0451235;0.0208054;0.974613;0.00756561;0.121455;0;0;426;1;1;
161;0.0203785;0.182949;0.047481;0.0100595;0.974434;0.00214603;0.119239;0.00201191;0.00321905;426;1;2;
162;0.0207233;0.193195;0.0514642;0.0123895;0.971557;0.00313142;0.12444;0;0.0050375;426;-1;-1;
163;0.0211238;0.195324;0.037364;0.0487962;0.974391;0.0234222;0.0818383;0.0306719;0;426;-1;-1;
164;0.0203784;0.170765;0.0248166;0.0249507;0.97509;0.00804862;0.135351;0;0;426;0;7;
165;0.0203695;0.154741;0.0251655;0.020882;0.975297;0.00629137;0.152733;0;0;426;-1;-1;
166;0.0202273;0.146636;0.0227332;0.020739;0.976329;0.00771066;0.154479;0;0;426;-1;-1;
167;0.0200639;0.166881;0;0.0217843;0.973692;0.00501699;0.152226;0;0;426;1;7;
168;0.0200296;0.169834;0;0.0241677;0.975688;0.0128102;0.134309;0;0;426;0;7;
169;0.0202331;0.176647;0;0.0234287;0.972158;0.00625653;0.150689;0;0;426;1;7;
170;0.0204506;0.180389;0;0.0212064;0.969322;0.00429497;0.164283;0;0;426;1;7;
171;0.0209125;0.179942;0;0.0420141;0.974064;0.0858248;0.0961902;0;0;426;-1;-1;
172;0.0208535;0.179153;0;0.0416186;0.974316;0.08558;0.0955023;0;0;426;-1;-1;
173;0.0203911;0.179444;0;0.0187759;0.968973;0.00442576;0.167642;0;0;426;1;7;
174;0.0205415;0.17359;0.0217495;0.0293145;0.975078;0.0102668;0.131037;0.00324216;0.00688958;426;1;7;
175;0.0201732;0.172001;0.00437629;0.0200248;0.97326;0.00172399;0.149457;0;0.00371321;426;1;7;
176;0.0204172;0.18817;0.0321234;0.0209676;0.972707;0;0.128628;0;0;426;1;7;
177;0.0203231;0.184455;0.0322362;0.0159174;0.973238;0;0.130684;0;0;426;1;7;
178;0.0203919;0.194209;0.030085;0.0217579;0.972122;0;0.124369;0;0;426;1;7;
179;0.0203354;0.188687;0.0293276;0.02223;0.973166;0;0.124809;0;0;426;1;7;
180;0.0198147;0.188588;0.0227878;0.0201685;0.976338;0;0.0994018;0;0;426;-1;-1;
181;0.0203225;0.200565;0.0104363;0.0232811;0.970044;0;0.13313;0;0;426;0;7;
182;0.020271;0.188811;0;0.027888;0.970611;0;0.145178;0;0;426;1;7;
183;0.0200589;0.192182;0;0.00739161;0.969885;0;0.148096;0;0;426;0;7;
184;0.0194516;0.223717;0;0.00437651;0.970683;0;0.0855993;0;0;426;-1;-1;
185;0.0203075;0.183953;0.0429985;0.024321;0.978351;0.0236492;0.0729631;0.0159901;0;426;-1;-1;
186;0.0207826;0.196003;0.0446207;0.0303859;0.975223;0.0199835;0.0792497;0.0223104;0;426;-1;-1;
187;0.0205143;0.181014;0.0449842;0.016566;0.974837;0.00808099;0.118925;0;0;426;1;1;
188;0.0209831;0.204804;0.030321;0.0283915;0.968342;0.0104745;0.134515;0;0;426;-1;-1;
189;0.0209405;0.217012;0.0251509;0.0180042;0.967965;0.00426053;0.118333;0.0230893;0;426;-1;-1;
190;0.0202228;0.185138;0.0237424;0.0238758;0.975041;0;0.115644;0.0101372;0;426;-1;-1;
191;0.0201233;0.197115;0;0.0315916;0.972702;0;0.116278;0.00849521;0.00119464;426;1;8;
192;0.0201006;0.188249;0;0.036987;0.973857;0.000530279;0.119843;0.00530279;0.00119313;426;1;8;
193;0.0202183;0.19656;0;0.0266523;0.973074;0;0.113672;0.0211886;0.00106609;426;1;9;
194;0.0201534;0.193452;0;0.0263073;0.97377;0;0.113201;0.0208599;0.000930057;426;1;9;
195;0.0201112;0.187649;0;0.0355657;0.973942;0.00106166;0.120366;0.00809517;0.000663539;426;1;8;
196;0.0201574;0.184475;0;0.0337827;0.97398;0.00186204;0.125156;0.0107732;0.000133003;426;1;8;
197;0.0201421;0.195146;0;0.031064;0.972807;0;0.118813;0.00876164;0;426;1;8;
198;0.0201726;0.191434;0;0.0354112;0.973143;0.0005325;0.120877;0.00852;0;426;1;8;
199;0.0201725;0.199717;0;0.0333971;0.971976;0.000665281;0.117489;0.00705198;0;426;1;8;
200;0.0200518;0.200507;0;0.0297783;0.972757;0;0.110378;0.00833791;0;426;1;8;
201;0.0197677;0.155766;0;0.0155114;0.979958;0.035194;0.116401;0;0;426;-1;-1;
202;0.0200089;0.196109;0;0.0319585;0.973544;0;0.110798;0.00739535;0;426;1;8;
203;0.0201908;0.197038;0;0.0264937;0.973343;0;0.110235;0.0227659;0;426;1;9;
204;0.0201172;0.198363;0;0.0301194;0.972577;0;0.115568;0.00888985;0;426;1;8;
205;0.0202163;0.19919;0;0.0239827;0.972498;0;0.114717;0.0206518;0;426;1;9;
206;0.0201725;0.198739;0;0.0248756;0.972542;0;0.115332;0.0183574;0;426;0;9;
207;0.0203376;0.192753;0;0.0243787;0.975952;0.0188868;0.086665;0.0385773;0;426;-1;-1;
208;0.0202402;0.191804;0;0.0365723;0.972369;0;0.126134;0.00720768;0;426;1;8;
209;0.0203193;0.189493;0;0.0385955;0.973063;0.0010721;0.123023;0.0142053;0;426;1;8;
210;0.0201983;0.198674;0;0.0264987;0.972861;0;0.111854;0.0211723;0;426;1;9;
211;0.0201822;0.190587;0;0.0268096;0.974438;0;0.112017;0.0217662;0;426;1;9;
212;0.0200767;0.190373;0;0.0256832;0.974505;0;0.112265;0.0207848;0;426;0;9;
213;0.0201514;0.189014;0;0.0276282;0.974424;0;0.114498;0.0221822;0;426;0;9;
